te_all_mu,te_all_size,te_all_lambda,te_all_poids_nb,te_all_poids_pois,te_all_mass_nb_loglik,te_all_mass_pois_loglik,timer,te_all_mean_ci_lower,te_all_mean_ci_upper,te_all_var_ci_lower,te_all_var_ci_upper,iteration,te_a_mean,te_s_mean,all__mean,te_all_var,nb_individual,max_timer_with_te,max_timer,te_at_the_end,seed,scenario
5.5039746094803785,225.39950328208104,5.504,0.14710750542744766,0.8528924945725522,-1106.7024757137651,-1106.4450058552964,0,5.300715736523746,5.707284263476253,4.74598765437936,6.084291645004097,0,4.994,0.51,5.504,5.352689378757515,499,6448.819003951403,6448.819003951403,578.8947368421053,90020,CoExt_end
5.471657190857153,245.7379770919728,5.471774193548387,0.1312274989749732,0.8687725010250269,-1096.699695367767,-1096.3095465211566,9.639679236688083,5.271555660969288,5.671992726127486,4.564760748216888,5.8578374552542325,1000,4.979838709677419,0.49193548387096775,5.471774193548387,5.1507168458781365,495,6448.819003951403,6448.819003951403,578.8947368421053,90020,CoExt_end
5.463047941652852,269.53300846431574,5.462962962962963,0.11900339171558336,0.8809966082844167,-1065.9302956916645,-1065.4283939101,19.04068071620131,5.264414181052611,5.661511744873315,4.392717730817878,5.651527299937705,2000,4.987654320987654,0.47530864197530864,5.462962962962963,4.962542955326461,485,6448.819003951403,6448.819003951403,578.8947368421053,90020,CoExt_end
5.48960750856269,276.09380360457396,5.489539748953975,0.11937553193041693,0.8806244680695832,-1050.797345250336,-1050.2989882264733,28.734833648716567,5.2892301002363595,5.6898493976715905,4.392676287535597,5.6634029794589535,3000,5.02092050209205,0.4686192468619247,5.489539748953975,4.967395594852767,477,6448.819003951403,6448.819003951403,578.8947368421053,90020,CoExt_end
5.515207427847826,288.8020789327785,5.515030060120241,0.11170482992026337,0.8882951700797367,-1094.129973782423,-1093.5565296411746,37.78185196910622,5.32031858907885,5.709741531161631,4.344878445986161,5.571466532700402,4000,5.046092184368738,0.46893787575150303,5.515030060120241,4.900878061343571,498,6448.819003951403,6448.819003951403,578.8947368421053,90020,CoExt_end
5.442266724531611,266.6575227049859,5.442190669371197,0.1188045238793509,0.8811954761206491,-1083.5765146130939,-1083.0727146179463,47.401976727234825,5.2453046159474255,5.639076722794968,4.385679379027368,5.632310296645047,5000,4.9533468559837726,0.48884381338742394,5.442190669371197,4.950411451376177,492,6448.819003951403,6448.819003951403,578.8947368421053,90020,CoExt_end
5.253704760051422,276.2032028995548,5.25360824742268,0.11113343886293943,0.8888665611370606,-1050.372614495956,-1049.7933990028912,56.94191689858273,5.061419456951081,5.4457970378942795,4.106794096191358,5.2850449194461095,6000,4.7670103092783505,0.4865979381443299,5.25360824742268,4.640095424725228,484,6448.819003951403,6448.819003951403,578.8947368421053,90020,CoExt_end
5.308276447908843,241.31545825107298,5.308316430020284,0.13315768772314246,0.8668423122768575,-1083.1443113584085,-1082.7709883234952,66.72540124018025,5.110401046672836,5.506231813367732,4.431656343482307,5.691356229538906,7000,4.803245436105477,0.5050709939148073,5.308316430020284,5.002308745196985,492,6448.819003951403,6448.819003951403,578.8947368421053,90020,CoExt_end
5.5102012200371355,216.99613555720998,5.510166358595194,0.15452430438441195,0.845475695615588,-1210.4474162035428,-1210.2478681750906,75.7777616436775,5.31346781617516,5.706864901015229,4.8313903865605115,6.134389999496201,8000,5.040665434380776,0.46950092421441775,5.510166358595194,5.424433490792086,540,6448.819003951403,6448.819003951403,578.8947368421053,90020,CoExt_end
5.555561078121071,92.83462433832663,5.555555555555555,0.25209253662581793,0.747907463374182,-1165.149224414573,-1165.5617413852574,84.65950577149538,5.3450798763988585,5.766031234712252,5.228430417826031,6.68149533110733,9000,5.0682261208577,0.4873294346978557,5.555555555555555,5.888020833333333,512,6448.819003951403,6448.819003951403,578.8947368421053,90020,CoExt_end
5.619777409102875,169.92687971649673,5.619771863117871,0.20210755955620927,0.7978924404437908,-1193.9274591093842,-1194.0542853361685,93.58259520779283,5.413384947653439,5.826158778582302,5.1626759107436335,6.577302775642377,10000,5.140684410646388,0.4790874524714829,5.619771863117871,5.805627376425855,525,6448.819003951403,6448.819003951403,578.8947368421053,90020,CoExt_end
5.373021649103037,56.893180876884564,5.373015873015873,0.3705344537178952,0.6294655462821048,-1138.5553546270935,-1139.5254299398896,102.6250545082998,5.160796587883539,5.5852351581482065,5.216364489194585,6.680680331814417,11000,4.908730158730159,0.4642857142857143,5.373015873015873,5.880463252232636,503,6448.819003951403,6448.819003951403,578.8947368421053,90020,CoExt_end
5.576205415778355,28.609207142011872,5.576200417536534,0.9195213918163022,0.08047860818369783,-1114.586620679712,-1118.522482575842,112.51728777559916,5.344450274466562,5.807950560606507,5.892937950034769,7.595640620939667,12000,5.0897703549060545,0.48643006263048016,5.576200417536534,6.663114403263424,478,6448.819003951403,6448.819003951403,578.8947368421053,90020,CoExt_end
5.470203706821379,95.03566498096512,5.470198675496689,0.23690832854217486,0.7630916714578252,-1025.41754632277,-1025.747841419533,123.43146511126376,5.24811459508903,5.692282755904348,5.099154121758725,6.62008340654458,13000,4.955849889624724,0.5143487858719646,5.470198675496689,5.7850612436265605,452,6448.819003951403,6448.819003951403,578.8947368421053,90020,CoExt_end
5.822274256528595,27.186133499026354,5.822269807280514,0.9569771097093295,0.04302289029067053,-1102.7031298021666,-1107.3051769681383,133.89965751903665,5.5804987587350885,6.064040855825939,6.24257909683289,8.07253304014133,14000,5.334047109207709,0.48822269807280516,5.822269807280514,7.06920256224095,466,6448.819003951403,6448.819003951403,578.8947368421053,90020,CoExt_end
